"","eventDate","kingdom","phylum","class","order","family","genus","species","month","day","year"
"3543","2010-02-18T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",2,19,2010
"3544","2011-05-13T14:00:00Z","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Macroptilium","Macroptilium lathyroides",5,14,2011
"3545","2010-05-06T14:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Ambassidae","Ambassis","Ambassis agassizii",5,7,2010
"3546","2013-10-20T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia",10,21,2013
"3547","2012-07-18T14:00:00Z","Plantae","Charophyta","Equisetopsida","Rosales","Moraceae","Maclura","Maclura cochinchinensis",7,19,2012
"3549","2015-08-03T14:00:00Z","Animalia","Chordata","Aves","Gruiformes","Rallidae","Lewinia","Lewinia pectoralis",8,4,2015
"3551","2015-08-03T14:00:00Z","Animalia","Chordata","Aves","Gruiformes","Rallidae","Lewinia","Lewinia pectoralis",8,4,2015
"3555","2011-05-09T14:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris klunzingeri",5,10,2011
"3558","2015-01-31T13:00:00Z","Animalia","Chordata","Amphibia","Anura","Hylidae","Litoria","Litoria nasuta",2,1,2015
"3563","2013-02-27T13:00:00Z","Animalia","Chordata","Amphibia","Anura","Limnodynastidae","Limnodynastes","Limnodynastes peronii",2,28,2013
"3879","2013-01-31T13:00:00Z","Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus conspicillatus",2,1,2013
"4410","2017-03-31T13:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",4,1,2017
"6022","2019-03-31T00:07:00Z","Fungi","Basidiomycota","","","","","",3,31,2019
"6023","2019-03-26T04:58:00Z","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","",3,26,2019
"6024","2021-03-09T00:26:00Z","Plantae","Charophyta","Equisetopsida","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum floribundum",3,9,2021
"6025","2019-12-23T02:25:00Z","Plantae","Charophyta","Equisetopsida","Malpighiales","Euphorbiaceae","Mallotus","Mallotus philippensis",12,22,2019
"6028","2020-09-15T10:57:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",9,15,2020
"6188","2020-03-08T01:03:00Z","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Iridomyrmex","",3,8,2020
"6190","2018-12-28T01:30:00Z","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Syzygium","Syzygium floribundum",12,28,2018
"6488","2020-12-13T05:53:00Z","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Opisthoncus","Opisthoncus quadratarius",12,13,2020
"6501","2020-03-18T04:36:00Z","Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Noliphus","Noliphus erythrocephalus",3,18,2020
"6502","2019-12-23T03:26:00Z","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","Solenopsis invicta",12,22,2019
"6504","2020-12-13T09:52:00Z","Animalia","Chordata","Amphibia","Anura","Limnodynastidae","Platyplectrum","Platyplectrum ornatum",12,13,2020
"6590","2013-12-25T03:18:00Z","Animalia","Chordata","Aves","Gruiformes","Rallidae","Gallirallus","Gallirallus philippensis",12,25,2013
"6758","2017-12-10T03:00:00Z","Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Riptortus","",12,10,2017
"6772","2021-03-24T07:52:00Z","Animalia","Arthropoda","Insecta","Hemiptera","","","",3,24,2021
"1208","2014-10-24T13:00:00Z","Animalia","Chordata","Mammalia","Rodentia","Muridae","Mus","Mus musculus",10,25,2014
"8203","2017-06-01T02:16:00Z","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Colluricincla","Colluricincla harmonica",6,1,2017
"794","2016-01-21T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Eopsaltria","Eopsaltria australis",1,22,2016
"4393","2017-03-31T13:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",4,1,2017
"4536","2016-12-31T13:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",1,1,2017
"8230","2018-02-28T13:00:00Z","Plantae","Charophyta","Equisetopsida","Asparagales","Hemerocallidaceae","Tricoryne","Tricoryne elatior",3,1,2018
"75","2010-10-01T16:00:00Z","Animalia","Chordata","Reptilia","Squamata","Agamidae","Intellagama","Intellagama lesueurii",10,2,2010
"76","2012-11-08T10:43:00Z","Plantae","Charophyta","Equisetopsida","Lamiales","Bignoniaceae","Spathodea","Spathodea campanulata",11,8,2012
"77","2011-01-07T16:00:00Z","Animalia","Chordata","Reptilia","Squamata","Scincidae","Lampropholis","Lampropholis delicata",1,8,2011
"78","2012-07-21T11:35:00Z","Plantae","Charophyta","Equisetopsida","Lamiales","Bignoniaceae","Jacaranda","Jacaranda mimosifolia",7,21,2012
